Age,Tenure_Months,Monthly_Charges,Total_Charges,Num_Products,Support_Calls,Satisfaction_Score,Contract_Type,Payment_Method,Internet_Service,Churn
56,64,83.23,5308.37,2,1,4,Month-to-Month,Mailed Check,No,0
69,44,39.9,1720.36,4,5,3,Month-to-Month,Bank Transfer,Fiber Optic,0
46,53,61.83,3401.24,2,4,3,Month-to-Month,Mailed Check,Fiber Optic,1
32,24,95.09,2344.79,2,3,2,Month-to-Month,Bank Transfer,DSL,0
60,60,30.14,1750.89,2,4,1,One Year,Mailed Check,Fiber Optic,1
25,3,47.79,160.7,2,0,3,Two Year,Bank Transfer,Fiber Optic,0
38,20,47.63,1025.5,2,0,4,Month-to-Month,Electronic Check,Fiber Optic,0
56,46,63.2,2832.39,1,0,5,Month-to-Month,Credit Card,Fiber Optic,0
36,15,118.04,1774.45,2,1,5,Month-to-Month,Electronic Check,Fiber Optic,1
40,25,26.75,674.95,2,2,5,One Year,Credit Card,DSL,1
28,71,71.87,5039.05,3,1,5,Two Year,Credit Card,DSL,0
28,17,37.94,663.96,2,1,3,One Year,Mailed Check,DSL,0
41,9,117.07,1109.44,2,0,2,One Year,Electronic Check,DSL,1
53,38,31.33,1265.94,1,3,4,One Year,Credit Card,Fiber Optic,0
57,48,60.36,2884.81,2,3,2,Month-to-Month,Bank Transfer,No,0
41,60,93.79,5752.48,2,2,3,One Year,Mailed Check,Fiber Optic,0
20,63,90.46,5596.08,3,2,2,One Year,Mailed Check,Fiber Optic,0
39,2,62.27,142.35,4,1,3,One Year,Bank Transfer,Fiber Optic,0
19,11,54.65,530.54,1,0,3,Two Year,Bank Transfer,DSL,0
41,64,59.76,3829.15,3,1,2,One Year,Credit Card,Fiber Optic,0
61,21,46.43,948.93,1,0,3,One Year,Bank Transfer,DSL,0
47,18,40.53,754.88,1,4,5,Two Year,Mailed Check,Fiber Optic,0
55,64,68.3,4364.86,2,2,4,Two Year,Bank Transfer,DSL,0
19,38,46.85,1739.0,1,1,5,One Year,Electronic Check,DSL,0
38,32,48.75,1521.99,2,5,2,Month-to-Month,Mailed Check,Fiber Optic,1
50,11,85.68,1039.1,1,1,2,Month-to-Month,Bank Transfer,No,0
29,45,116.85,5280.43,1,2,4,One Year,Mailed Check,Fiber Optic,0
39,33,80.36,2566.77,2,3,3,Month-to-Month,Credit Card,No,1
61,41,27.7,1163.24,2,1,4,Month-to-Month,Electronic Check,Fiber Optic,0
42,8,27.56,210.75,4,1,4,Month-to-Month,Credit Card,Fiber Optic,0
66,11,115.14,1266.77,2,2,4,One Year,Electronic Check,Fiber Optic,0
44,51,49.73,2577.22,2,1,5,Month-to-Month,Bank Transfer,No,0
59,41,29.21,1256.77,1,1,3,Month-to-Month,Mailed Check,DSL,0
45,17,79.9,1315.36,1,2,2,Month-to-Month,Bank Transfer,DSL,0
33,46,82.36,3787.07,1,0,4,One Year,Credit Card,DSL,0
32,32,84.85,2687.89,2,3,2,Month-to-Month,Mailed Check,Fiber Optic,0
64,54,46.74,2553.8,2,1,3,Month-to-Month,Bank Transfer,No,0
68,20,21.51,418.58,2,1,2,One Year,Bank Transfer,Fiber Optic,0
61,33,116.5,3845.96,2,1,3,One Year,Mailed Check,Fiber Optic,0
69,40,45.09,1790.09,2,3,2,Month-to-Month,Mailed Check,No,0
20,32,87.6,2797.89,1,3,1,One Year,Credit Card,Fiber Optic,0
54,2,90.66,266.55,1,1,4,Month-to-Month,Electronic Check,Fiber Optic,1
68,33,81.0,2792.54,3,2,4,One Year,Electronic Check,No,1
24,30,51.29,1557.55,2,2,4,Month-to-Month,Mailed Check,Fiber Optic,1
38,33,47.11,1549.63,3,2,4,Month-to-Month,Electronic Check,Fiber Optic,1
26,26,79.77,1994.24,1,1,2,One Year,Credit Card,DSL,1
56,22,106.61,2307.4,4,2,3,One Year,Electronic Check,DSL,0
35,66,114.67,7561.88,1,2,2,Month-to-Month,Mailed Check,Fiber Optic,0
21,38,30.59,1126.67,1,0,4,Month-to-Month,Credit Card,Fiber Optic,0
42,46,35.48,1601.58,4,3,4,Two Year,Mailed Check,No,0
31,15,114.47,1795.82,1,1,2,One Year,Credit Card,No,0
67,44,93.65,4122.04,2,4,3,Month-to-Month,Credit Card,No,0
26,49,108.3,5312.61,1,3,5,One Year,Mailed Check,DSL,1
43,61,40.26,2422.15,2,4,4,Month-to-Month,Bank Transfer,No,0
19,67,78.76,5335.8,4,3,4,Month-to-Month,Mailed Check,Fiber Optic,0
37,6,90.11,530.03,1,0,3,Month-to-Month,Credit Card,Fiber Optic,1
45,9,88.01,766.05,2,2,2,Month-to-Month,Mailed Check,Fiber Optic,0
64,6,60.82,285.88,1,2,4,Month-to-Month,Mailed Check,DSL,0
24,32,21.54,686.22,2,1,4,Month-to-Month,Credit Card,DSL,1
61,41,78.29,3182.29,1,1,4,Month-to-Month,Electronic Check,No,0
25,8,45.31,446.71,1,1,4,Month-to-Month,Credit Card,Fiber Optic,1
64,50,65.03,3343.69,1,4,4,Month-to-Month,Mailed Check,Fiber Optic,0
52,62,115.76,7115.36,1,1,4,Month-to-Month,Credit Card,Fiber Optic,0
31,62,59.9,3657.69,4,2,3,One Year,Credit Card,No,1
34,7,103.98,714.04,1,0,3,Month-to-Month,Electronic Check,Fiber Optic,1
53,4,38.85,114.6,1,1,5,One Year,Bank Transfer,Fiber Optic,1
67,6,87.25,534.37,2,4,3,Month-to-Month,Mailed Check,DSL,1
57,58,117.7,6810.27,1,0,3,Month-to-Month,Mailed Check,DSL,0
21,22,30.19,678.21,2,2,4,One Year,Electronic Check,No,0
19,26,20.83,592.38,4,0,5,Two Year,Credit Card,Fiber Optic,0
23,3,63.36,136.87,2,3,3,Month-to-Month,Bank Transfer,Fiber Optic,0
59,41,29.26,1249.42,3,2,3,Month-to-Month,Mailed Check,Fiber Optic,0
21,60,94.84,5653.97,2,2,4,One Year,Bank Transfer,No,0
46,14,111.45,1667.72,1,2,4,Two Year,Bank Transfer,Fiber Optic,0
35,12,63.4,841.85,2,1,4,Two Year,Credit Card,Fiber Optic,0
43,12,45.87,544.79,2,2,3,Month-to-Month,Credit Card,Fiber Optic,0
61,13,63.44,776.54,2,2,3,Month-to-Month,Credit Card,DSL,1
51,25,92.34,2250.76,3,3,4,One Year,Mailed Check,No,0
27,45,20.91,984.63,2,3,5,One Year,Bank Transfer,No,0
53,19,78.95,1498.53,4,1,5,One Year,Bank Transfer,No,0
31,55,81.33,4519.49,3,3,2,Two Year,Mailed Check,No,0
48,45,83.77,3879.86,2,3,3,One Year,Electronic Check,No,0
65,8,44.2,315.08,2,4,3,Month-to-Month,Credit Card,Fiber Optic,0
32,53,91.41,4783.22,1,0,5,Month-to-Month,Mailed Check,No,1
25,55,29.14,1612.33,4,1,4,One Year,Credit Card,Fiber Optic,1
31,32,39.93,1335.0,2,0,3,Month-to-Month,Bank Transfer,DSL,0
40,51,107.75,5448.23,1,1,1,Month-to-Month,Mailed Check,Fiber Optic,0
57,44,93.87,4132.01,1,0,4,Month-to-Month,Electronic Check,No,1
38,70,21.37,1564.4,2,2,1,Month-to-Month,Credit Card,Fiber Optic,0
33,18,44.84,725.48,1,5,4,Month-to-Month,Bank Transfer,No,1
62,22,41.44,923.45,1,0,4,Two Year,Bank Transfer,DSL,0
35,37,47.08,1714.95,2,6,3,Month-to-Month,Electronic Check,DSL,0
64,56,44.76,2512.77,1,0,3,Month-to-Month,Electronic Check,Fiber Optic,0
41,59,26.25,1584.24,2,4,5,Month-to-Month,Credit Card,DSL,1
43,3,65.89,208.71,1,2,3,Month-to-Month,Bank Transfer,DSL,1
42,28,93.27,2561.05,1,3,2,Two Year,Electronic Check,DSL,1
62,35,80.67,2798.39,2,1,5,Two Year,Mailed Check,No,0
58,61,87.29,5396.02,2,4,4,Month-to-Month,Electronic Check,DSL,1
46,54,28.11,1534.39,1,2,4,One Year,Mailed Check,DSL,1
32,63,115.15,7296.47,1,1,2,Month-to-Month,Bank Transfer,DSL,0
62,7,103.85,739.46,2,0,2,Two Year,Credit Card,Fiber Optic,0
18,49,100.51,4965.45,1,3,1,Month-to-Month,Bank Transfer,Fiber Optic,0
42,31,102.3,3151.49,1,4,2,Month-to-Month,Bank Transfer,Fiber Optic,0
24,58,113.27,6531.28,1,2,4,One Year,Bank Transfer,Fiber Optic,0
26,61,74.43,4578.41,3,4,2,Two Year,Bank Transfer,DSL,0
41,24,40.03,1017.09,3,3,4,Month-to-Month,Credit Card,Fiber Optic,0
18,20,81.68,1587.89,3,2,3,One Year,Electronic Check,No,0
61,37,94.29,3459.93,2,5,3,Month-to-Month,Credit Card,DSL,0
25,4,93.79,367.0,2,1,5,Two Year,Credit Card,Fiber Optic,0
41,20,72.14,1523.79,2,2,2,Month-to-Month,Credit Card,DSL,0
28,60,26.85,1639.16,2,2,3,Two Year,Credit Card,DSL,0
68,24,57.11,1304.44,1,1,3,Month-to-Month,Electronic Check,Fiber Optic,1
34,50,112.08,5599.35,2,0,2,Month-to-Month,Bank Transfer,Fiber Optic,1
25,49,78.44,3831.27,3,3,3,Two Year,Electronic Check,DSL,0
52,51,73.83,3706.67,2,3,3,Two Year,Electronic Check,DSL,0
52,36,46.89,1682.8,1,3,4,One Year,Bank Transfer,No,0
50,66,56.84,3736.94,1,2,4,Month-to-Month,Electronic Check,No,1
22,34,109.53,3705.94,2,3,3,Month-to-Month,Credit Card,No,0
59,36,86.65,3099.03,2,3,1,Month-to-Month,Credit Card,Fiber Optic,1
56,6,98.74,666.01,3,0,4,Month-to-Month,Bank Transfer,Fiber Optic,0
58,39,65.43,2533.58,1,1,1,One Year,Bank Transfer,Fiber Optic,0
45,42,83.02,3489.32,3,4,4,Month-to-Month,Bank Transfer,DSL,1
24,58,44.84,2597.78,2,1,4,One Year,Credit Card,Fiber Optic,0
26,12,90.55,1061.35,3,2,2,One Year,Bank Transfer,Fiber Optic,0
25,3,62.76,192.26,2,3,4,Month-to-Month,Electronic Check,DSL,0
29,18,64.25,1159.77,2,1,5,One Year,Electronic Check,No,0
51,40,84.93,3401.19,2,1,4,One Year,Mailed Check,DSL,0
50,21,113.63,2343.27,2,4,3,One Year,Mailed Check,Fiber Optic,0
65,15,26.4,385.69,4,5,4,Month-to-Month,Bank Transfer,DSL,0
40,26,102.47,2702.24,1,1,5,One Year,Mailed Check,Fiber Optic,0
41,8,49.24,384.93,1,1,3,Month-to-Month,Credit Card,DSL,1
54,42,64.39,2712.47,4,5,4,Month-to-Month,Credit Card,DSL,0
52,44,22.19,984.71,2,0,1,One Year,Electronic Check,Fiber Optic,0
61,14,50.1,722.27,2,2,1,One Year,Electronic Check,Fiber Optic,1
57,2,70.26,168.45,2,1,4,Month-to-Month,Mailed Check,Fiber Optic,1
39,37,25.62,939.23,1,2,4,One Year,Mailed Check,DSL,0
44,69,69.11,4723.02,3,2,4,Two Year,Credit Card,Fiber Optic,0
52,38,112.71,4222.04,2,1,5,Month-to-Month,Electronic Check,Fiber Optic,1
18,41,30.54,1303.02,1,3,2,Two Year,Mailed Check,DSL,0
52,62,96.44,6017.79,1,3,2,One Year,Credit Card,No,0
54,60,60.97,3690.67,3,3,5,One Year,Electronic Check,Fiber Optic,0
64,14,85.52,1237.84,1,1,2,Month-to-Month,Credit Card,DSL,1
31,2,46.02,83.96,3,0,4,Month-to-Month,Credit Card,No,1
20,70,35.95,2485.26,1,2,3,Two Year,Electronic Check,No,0
18,17,36.05,563.83,2,1,1,Month-to-Month,Credit Card,No,1
22,28,27.05,702.93,4,4,3,Month-to-Month,Mailed Check,Fiber Optic,1
43,66,38.56,2605.57,2,4,3,One Year,Credit Card,Fiber Optic,0
31,35,86.42,3000.04,2,1,5,Month-to-Month,Mailed Check,DSL,0
56,5,108.17,593.59,2,0,4,One Year,Bank Transfer,Fiber Optic,0
44,65,101.41,6582.31,1,2,4,One Year,Bank Transfer,No,0
26,40,88.51,3506.59,1,2,3,Two Year,Bank Transfer,Fiber Optic,0
32,56,31.04,1683.52,4,4,3,One Year,Credit Card,No,0
32,36,48.92,1731.71,3,1,2,Month-to-Month,Bank Transfer,DSL,1
43,45,50.98,2365.01,2,1,3,Month-to-Month,Bank Transfer,Fiber Optic,0
59,23,45.0,980.79,1,2,1,One Year,Credit Card,No,1
30,47,71.5,3466.34,1,6,2,Month-to-Month,Electronic Check,Fiber Optic,1
68,31,73.56,2238.33,1,1,3,Two Year,Credit Card,No,0
49,11,55.69,650.09,2,0,3,One Year,Mailed Check,Fiber Optic,0
56,10,55.38,546.54,3,1,1,Month-to-Month,Credit Card,Fiber Optic,0
66,67,102.86,6875.59,2,1,4,Two Year,Electronic Check,Fiber Optic,0
69,14,98.93,1321.45,3,0,3,Month-to-Month,Bank Transfer,No,1
49,10,50.78,502.88,1,1,1,Month-to-Month,Credit Card,Fiber Optic,1
21,1,111.38,53.47,1,1,5,One Year,Bank Transfer,DSL,0
47,5,115.28,492.32,1,4,1,Two Year,Mailed Check,Fiber Optic,1
54,20,52.67,1059.38,2,6,5,Month-to-Month,Electronic Check,Fiber Optic,1
40,8,55.44,411.75,1,1,1,Month-to-Month,Bank Transfer,DSL,0
56,43,70.56,3118.3,4,1,5,Month-to-Month,Bank Transfer,Fiber Optic,0
62,1,114.11,164.11,1,1,1,Month-to-Month,Bank Transfer,DSL,1
32,57,107.63,6219.78,4,2,4,Month-to-Month,Bank Transfer,Fiber Optic,0
60,64,30.26,1902.6,2,0,3,Month-to-Month,Credit Card,No,0
46,28,59.27,1666.37,4,5,4,One Year,Electronic Check,Fiber Optic,0
53,37,75.34,2656.55,2,2,3,Two Year,Electronic Check,No,0
30,47,70.31,3290.48,4,2,1,Month-to-Month,Bank Transfer,Fiber Optic,0
49,37,39.39,1462.35,1,1,4,Month-to-Month,Electronic Check,No,0
24,49,105.88,5195.82,2,1,1,Two Year,Bank Transfer,DSL,0
68,44,87.69,3856.24,4,1,5,One Year,Mailed Check,DSL,0
39,56,103.79,5815.57,1,6,1,Two Year,Mailed Check,No,0
45,28,105.88,2828.98,1,2,3,Month-to-Month,Mailed Check,Fiber Optic,0
19,6,94.84,581.85,2,1,4,Month-to-Month,Electronic Check,DSL,0
59,61,63.92,3923.29,4,0,3,Month-to-Month,Bank Transfer,No,0
62,20,81.05,1687.9,2,4,2,One Year,Credit Card,Fiber Optic,1
23,2,36.04,90.52,2,0,4,Month-to-Month,Credit Card,No,1
45,37,87.36,3225.78,1,4,4,One Year,Mailed Check,Fiber Optic,0
45,20,37.93,813.85,1,1,5,Month-to-Month,Mailed Check,Fiber Optic,0
61,26,89.39,2206.27,3,3,3,Month-to-Month,Electronic Check,Fiber Optic,1
61,29,42.96,1220.09,1,2,3,One Year,Credit Card,DSL,0
37,1,31.76,-6.53,2,2,3,Month-to-Month,Electronic Check,Fiber Optic,0
47,35,36.53,1276.82,4,3,3,One Year,Mailed Check,Fiber Optic,1
28,70,20.2,1304.07,1,1,4,Month-to-Month,Bank Transfer,DSL,0
45,59,91.87,5486.31,2,1,3,Month-to-Month,Bank Transfer,DSL,0
42,69,93.24,6421.07,1,1,3,Month-to-Month,Bank Transfer,DSL,0
56,33,71.49,2375.11,2,2,3,Month-to-Month,Mailed Check,No,1
50,51,36.14,1854.29,1,1,4,Month-to-Month,Electronic Check,Fiber Optic,0
18,12,28.36,403.44,2,1,5,One Year,Bank Transfer,Fiber Optic,1
44,20,21.91,345.1,1,1,4,Two Year,Credit Card,No,0
69,53,36.57,1943.83,2,3,3,Month-to-Month,Credit Card,Fiber Optic,0
30,43,109.09,4748.18,2,6,4,Month-to-Month,Mailed Check,No,0
58,50,44.15,2202.6,1,2,4,Two Year,Credit Card,DSL,0
